epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,313.818,0.80022,1.68965,1.19219,0.80822,0.73425,0.79323,0.63793,0.72419,1.08625,1.18918,0.00999301,0.003331,0.00999301,0.003331,0.00999301,0.003331,0.00999301,0.003331
2,558.919,0.82248,1.11002,1.18948,0.82384,0.72821,0.7908,0.62405,0.78461,0.97196,1.22367,0.0196631,0.00655438,0.0196631,0.00655438,0.0196631,0.00655438,0.0196631,0.00655438
3,778.196,0.89968,1.10438,1.24211,0.85524,0.72636,0.7939,0.61426,0.83571,0.99462,1.28364,0.0290032,0.00966775,0.0290032,0.00966775,0.0290032,0.00966775,0.0290032,0.00966775
4,990.874,0.91897,1.08117,1.26294,0.83406,0.77258,0.82262,0.66486,0.7491,0.81117,1.18562,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,1203.44,0.86603,0.95704,1.23192,0.87405,0.78911,0.84493,0.6933,0.69621,0.72374,1.15088,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,1422.16,0.81844,0.87174,1.1998,0.83421,0.76988,0.81088,0.66615,0.68279,0.75721,1.12643,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,1637.33,0.79306,0.81921,1.18095,0.8988,0.82073,0.87123,0.72682,0.64954,0.60146,1.10266,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,1852.75,0.77333,0.78069,1.16858,0.9366,0.82563,0.87871,0.74502,0.62202,0.57273,1.08042,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,2066.9,0.75658,0.74652,1.15456,0.92528,0.83097,0.88634,0.74641,0.61158,0.55361,1.0746,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,2283.96,0.74732,0.72378,1.15023,0.93842,0.83967,0.89268,0.75687,0.60224,0.50893,1.06746,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,2500.89,0.72572,0.69641,1.13768,0.92537,0.84028,0.88003,0.75608,0.5811,0.52852,1.05012,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,2714.89,0.71773,0.67422,1.12863,0.95316,0.8419,0.89574,0.77385,0.56914,0.49681,1.03249,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,2928.6,0.70699,0.65799,1.12424,0.92516,0.85834,0.89881,0.77237,0.56736,0.47327,1.03708,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,3143.96,0.69778,0.64597,1.12,0.94966,0.85381,0.89735,0.77641,0.56148,0.4776,1.02761,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,3359.05,0.69264,0.63307,1.11217,0.94555,0.8514,0.89902,0.78462,0.55138,0.45989,1.01464,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
