epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,409.085,0.74344,1.10382,1.16565,0.89051,0.79039,0.85618,0.7233,0.61074,0.6588,1.08196,0.00999301,0.003331,0.00999301,0.003331,0.00999301,0.003331,0.00999301,0.003331
2,747.144,0.74368,0.79058,1.15596,0.86915,0.79586,0.8516,0.69997,0.67789,0.69631,1.12839,0.0196631,0.00655438,0.0196631,0.00655438,0.0196631,0.00655438,0.0196631,0.00655438
3,1068.37,0.83504,0.90482,1.21491,0.72974,0.66596,0.69764,0.53933,0.85357,1.14146,1.30165,0.0290032,0.00966775,0.0290032,0.00966775,0.0290032,0.00966775,0.0290032,0.00966775
4,1388.07,0.86806,0.94993,1.23923,0.85094,0.76162,0.82535,0.65795,0.78205,0.79594,1.24176,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,1705.45,0.81581,0.84821,1.20724,0.90359,0.80799,0.86423,0.71817,0.65319,0.65271,1.11947,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2022.02,0.76913,0.77196,1.17619,0.8899,0.80414,0.8501,0.72186,0.62147,0.62652,1.08162,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,2338.78,0.74377,0.72354,1.16019,0.92998,0.83599,0.88322,0.75115,0.60407,0.54343,1.0739,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,2676.62,0.72485,0.68678,1.14283,0.93832,0.84789,0.89501,0.7703,0.57937,0.50221,1.05104,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,2993.33,0.70813,0.6544,1.12901,0.93159,0.84582,0.89518,0.76519,0.59211,0.50021,1.05137,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,3310.38,0.69645,0.62864,1.12229,0.94441,0.85289,0.90004,0.77936,0.56332,0.47086,1.03017,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,3628.19,0.67526,0.60895,1.11111,0.92889,0.86059,0.89967,0.78114,0.54576,0.47483,1.01335,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,3955.39,0.66695,0.58906,1.10302,0.95744,0.85614,0.90082,0.78966,0.54413,0.46306,1.01395,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,4288.27,0.65604,0.57491,1.09848,0.94516,0.85904,0.90698,0.78878,0.53321,0.42598,1.01178,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
